,graph,algo,seed,s,t,dist,time_dist,search_space
846,1138_bus,BiBFS-python,3404785993,949,1102,10,0.00028228759765625,107
847,1138_bus,BiBFS-python,3404785993,74,226,19,0.0025260448455810547,1041
848,1138_bus,BiBFS-python,3404785993,630,190,7,0.0001709461212158203,64
849,1138_bus,BiBFS-python,3404785993,240,772,10,0.0005567073822021484,239
850,1138_bus,BiBFS-python,3404785993,1134,169,10,0.0003159046173095703,115
851,1138_bus,BiBFS-python,3404785993,546,580,6,0.00012111663818359375,44
852,1138_bus,BiBFS-python,3404785993,923,872,11,0.0003609657287597656,145
853,1138_bus,BiBFS-python,3404785993,6,1051,11,0.0004820823669433594,181
854,1138_bus,BiBFS-python,3404785993,103,122,4,8.082389831542969e-05,35
855,1138_bus,BiBFS-python,3404785993,881,550,16,0.0010981559753417969,435
856,1138_bus,BiBFS-python,3404785993,516,1126,16,0.0005838871002197266,211
857,1138_bus,BiBFS-python,3404785993,1027,271,17,0.0011448860168457031,442
858,1138_bus,BiBFS-python,3404785993,1044,827,9,0.00037598609924316406,145
859,1138_bus,BiBFS-python,3404785993,123,384,11,0.0005958080291748047,257
860,1138_bus,BiBFS-python,3404785993,840,429,11,0.0006630420684814453,287
861,1138_bus,BiBFS-python,3404785993,362,1001,13,0.0008680820465087891,329
862,1138_bus,BiBFS-python,3404785993,550,395,20,0.0018701553344726562,759
863,1138_bus,BiBFS-python,3404785993,941,772,9,0.0005779266357421875,249
864,1138_bus,BiBFS-python,3404785993,615,275,13,0.0007181167602539062,290
865,1138_bus,BiBFS-python,3404785993,450,679,14,0.0005567073822021484,232
866,1138_bus,BiBFS-python,3404785993,96,1,10,0.0005009174346923828,202
867,1138_bus,BiBFS-python,3404785993,116,1102,14,0.0008471012115478516,322
868,1138_bus,BiBFS-python,3404785993,612,197,10,0.0006241798400878906,178
869,1138_bus,BiBFS-python,3404785993,972,414,12,0.0006320476531982422,265
870,1138_bus,BiBFS-python,3404785993,898,1006,12,0.00044918060302734375,154
871,1138_bus,BiBFS-python,3404785993,897,748,17,0.0006721019744873047,256
872,1138_bus,BiBFS-python,3404785993,452,981,12,0.0007920265197753906,312
873,1138_bus,BiBFS-python,3404785993,395,554,18,0.002079010009765625,847
874,1138_bus,BiBFS-python,3404785993,476,1050,17,0.0017008781433105469,665
875,1138_bus,BiBFS-python,3404785993,337,239,13,0.0008730888366699219,366
876,1138_bus,BiBFS-python,3404785993,123,441,6,0.00011181831359863281,43
877,1138_bus,BiBFS-python,3404785993,1079,737,10,0.00029087066650390625,106
878,1138_bus,BiBFS-python,3404785993,665,87,13,0.0005028247833251953,189
879,1138_bus,BiBFS-python,3404785993,107,830,9,0.00030517578125,100
880,1138_bus,BiBFS-python,3404785993,172,804,9,0.0006680488586425781,278
881,1138_bus,BiBFS-python,3404785993,1034,722,18,0.0011639595031738281,402
882,1138_bus,BiBFS-python,3404785993,137,680,7,0.0003159046173095703,138
883,1138_bus,BiBFS-python,3404785993,1118,980,12,0.0006966590881347656,249
884,1138_bus,BiBFS-python,3404785993,473,221,14,0.0010819435119628906,423
885,1138_bus,BiBFS-python,3404785993,434,860,14,0.0010838508605957031,450
886,1138_bus,BiBFS-python,3404785993,198,1086,14,0.00092315673828125,370
887,1138_bus,BiBFS-python,3404785993,164,22,10,0.0009059906005859375,401
888,1138_bus,BiBFS-python,3404785993,998,843,9,0.00019502639770507812,83
889,1138_bus,BiBFS-python,3404785993,403,535,25,0.00215911865234375,889
890,1138_bus,BiBFS-python,3404785993,147,1017,7,0.00021696090698242188,75
891,1138_bus,BiBFS-python,3404785993,80,251,11,0.0006649494171142578,277
892,1138_bus,BiBFS-python,3404785993,981,411,12,0.0007648468017578125,295
893,1138_bus,BiBFS-python,3404785993,90,762,10,0.0006310939788818359,240
894,1138_bus,BiBFS-python,3404785993,274,319,5,8.130073547363281e-05,27
895,1138_bus,BiBFS-python,3404785993,298,916,21,0.0022478103637695312,707
896,1138_bus,BiBFS-python,3404785993,942,548,17,0.0015571117401123047,642
897,1138_bus,BiBFS-python,3404785993,217,1055,10,0.0003020763397216797,116
898,1138_bus,BiBFS-python,3404785993,322,991,11,0.0006568431854248047,265
899,1138_bus,BiBFS-python,3404785993,784,268,12,0.0011730194091796875,492
1300,130bit,BiBFS-python,3404785993,65,362,2,5.793571472167969e-05,27
1301,130bit,BiBFS-python,3404785993,143,502,2,5.1021575927734375e-05,28
1302,130bit,BiBFS-python,3404785993,274,378,2,5.1975250244140625e-05,30
1303,130bit,BiBFS-python,3404785993,194,78,2,4.100799560546875e-05,21
1304,130bit,BiBFS-python,3404785993,401,499,2,4.7206878662109375e-05,26
1305,130bit,BiBFS-python,3404785993,422,88,2,3.910064697265625e-05,20
1306,130bit,BiBFS-python,3404785993,65,392,2,4.887580871582031e-05,29
1307,130bit,BiBFS-python,3404785993,94,442,2,3.5762786865234375e-05,18
1308,130bit,BiBFS-python,3404785993,68,340,2,4.1961669921875e-05,23
1309,130bit,BiBFS-python,3404785993,109,25,2,6.389617919921875e-05,41
